additional_loans,installment_rate,account_status,applicant_age,housing_status,dependents,residence_years,is_foreign,property_value,repayment_history,guarantor,loan_amount,marital_gender,savings_category,num_existing_loans,employment_term,has_phone,loan_purpose,occupation,loan_duration,target
b'none',4.0,b'<0',67.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1169.0,b'male single',b'no known savings',2.0,b'>=7',b'yes',b'radio/tv',b'skilled',6.0,b'good'
b'none',2.0,b'0<=X<200',22.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',5951.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',48.0,b'bad'
b'none',2.0,b'no checking',49.0,b'own',2.0,3.0,b'yes',b'real estate',b'critical/other existing credit',b'none',2096.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'education',b'unskilled resident',12.0,b'good'
b'none',2.0,b'<0',45.0,b'for free',2.0,4.0,b'yes',b'life insurance',b'existing paid',b'guarantor',7882.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'furniture/equipment',b'skilled',42.0,b'good'
b'none',3.0,b'<0',53.0,b'for free',2.0,4.0,b'yes',b'no known property',b'delayed previously',b'none',4870.0,b'male single',b'<100',2.0,b'1<=X<4',b'none',b'new car',b'skilled',24.0,b'bad'
b'none',2.0,b'no checking',35.0,b'for free',2.0,4.0,b'yes',b'no known property',b'existing paid',b'none',9055.0,b'male single',b'no known savings',1.0,b'1<=X<4',b'yes',b'education',b'unskilled resident',36.0,b'good'
b'none',3.0,b'no checking',53.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',2835.0,b'male single',b'500<=X<1000',1.0,b'>=7',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',2.0,b'0<=X<200',35.0,b'rent',1.0,2.0,b'yes',b'car',b'existing paid',b'none',6948.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'used car',b'high qualif/self emp/mgmt',36.0,b'good'
b'none',2.0,b'no checking',61.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',3059.0,b'male div/sep',b'>=1000',1.0,b'4<=X<7',b'none',b'radio/tv',b'unskilled resident',12.0,b'good'
b'none',4.0,b'0<=X<200',28.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',5234.0,b'male mar/wid',b'<100',2.0,b'unemployed',b'none',b'new car',b'high qualif/self emp/mgmt',30.0,b'bad'
b'none',3.0,b'0<=X<200',25.0,b'rent',1.0,1.0,b'yes',b'car',b'existing paid',b'none',1295.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'none',b'new car',b'skilled',12.0,b'bad'
b'none',3.0,b'<0',24.0,b'rent',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',4308.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'none',b'business',b'skilled',48.0,b'bad'
b'none',1.0,b'0<=X<200',22.0,b'own',1.0,1.0,b'yes',b'car',b'existing paid',b'none',1567.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'yes',b'radio/tv',b'skilled',12.0,b'good'
b'none',4.0,b'<0',60.0,b'own',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',1199.0,b'male single',b'<100',2.0,b'>=7',b'none',b'new car',b'unskilled resident',24.0,b'bad'
b'none',2.0,b'<0',28.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',1403.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'new car',b'skilled',15.0,b'good'
b'none',4.0,b'<0',32.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',1282.0,b'female div/dep/mar',b'100<=X<500',1.0,b'1<=X<4',b'none',b'radio/tv',b'unskilled resident',24.0,b'bad'
b'none',4.0,b'no checking',53.0,b'own',1.0,4.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',2424.0,b'male single',b'no known savings',2.0,b'>=7',b'none',b'radio/tv',b'skilled',24.0,b'good'
b'bank',2.0,b'<0',25.0,b'own',1.0,3.0,b'yes',b'car',b'no credits/all paid',b'none',8072.0,b'male single',b'no known savings',3.0,b'<1',b'none',b'business',b'skilled',30.0,b'good'
b'none',4.0,b'0<=X<200',44.0,b'for free',1.0,2.0,b'yes',b'no known property',b'existing paid',b'none',12579.0,b'female div/dep/mar',b'<100',1.0,b'>=7',b'yes',b'used car',b'high qualif/self emp/mgmt',24.0,b'bad'
b'none',3.0,b'no checking',31.0,b'own',2.0,2.0,b'yes',b'car',b'existing paid',b'none',3430.0,b'male single',b'500<=X<1000',1.0,b'>=7',b'yes',b'radio/tv',b'skilled',24.0,b'good'
b'none',4.0,b'no checking',48.0,b'own',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',2134.0,b'male single',b'<100',3.0,b'1<=X<4',b'yes',b'new car',b'skilled',9.0,b'good'
b'none',2.0,b'<0',44.0,b'rent',2.0,3.0,b'yes',b'real estate',b'existing paid',b'none',2647.0,b'male single',b'500<=X<1000',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',6.0,b'good'
b'none',1.0,b'<0',48.0,b'rent',2.0,3.0,b'no',b'real estate',b'critical/other existing credit',b'none',2241.0,b'male single',b'<100',2.0,b'<1',b'none',b'new car',b'unskilled resident',10.0,b'good'
b'none',3.0,b'0<=X<200',44.0,b'own',1.0,4.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',1804.0,b'male single',b'100<=X<500',1.0,b'<1',b'none',b'used car',b'skilled',12.0,b'good'
b'none',2.0,b'no checking',26.0,b'own',1.0,1.0,b'no',b'car',b'critical/other existing credit',b'none',2069.0,b'male mar/wid',b'no known savings',2.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',10.0,b'good'
b'bank',1.0,b'<0',36.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1374.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'furniture/equipment',b'unskilled resident',6.0,b'good'
b'none',4.0,b'no checking',39.0,b'own',1.0,4.0,b'yes',b'car',b'no credits/all paid',b'none',426.0,b'male mar/wid',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'unskilled resident',6.0,b'good'
b'none',3.0,b'>=200',42.0,b'rent',1.0,3.0,b'yes',b'real estate',b'all paid',b'none',409.0,b'female div/dep/mar',b'>=1000',2.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',12.0,b'good'
